category,budget_max,duration,budget_per_day,requirement_title
Full Stack Developer,6000,40,150.0,Admin Panel Requirements
Full Stack Developer,6500,55,118.18,Deployment Checklist
Frontend Developer,7000,40,175.0,UI Component Specifications
Backend Developer,7000,40,175.0,Database Migration Plan
UI/UX Designer,8000,38,210.53,Design Tokens Export
Frontend Developer,4200,55,76.36,State Management Plan
Frontend Developer,4200,60,70.0,State Management Plan
Backend Developer,6000,55,109.09,Authentication and Security
Full Stack Developer,6000,40,150.0,Deployment Checklist
UI/UX Designer,2800,75,37.33,Brand Style Guide
DevOps Engineer,6000,55,109.09,Environment Parity Checklist
UI/UX Designer,6000,40,150.0,Design Tokens Export
Frontend Developer,4200,60,70.0,Responsive Design Spec
Frontend Developer,2400,75,32.0,SEO and Keywords Strategy
UI/UX Designer,8500,38,223.68,Prototype Link and Credentials
Full Stack Developer,6000,40,150.0,Logging and Audit Trail Spec
Frontend Developer,6500,55,118.18,Component Testing Standards
DevOps Engineer,5500,40,137.5,Docker and Container Config
Full Stack Developer,5000,60,83.33,Database ERD
Backend Developer,5500,55,100.0,Rate Limiting Policy
UI/UX Designer,6500,55,118.18,Design Tokens Export
UI/UX Designer,5000,60,83.33,Wireframes and Mockups
Frontend Developer,5500,55,100.0,Browser Compatibility Matrix
DevOps Engineer,6500,55,118.18,Rollback Decision Playbook
UI/UX Designer,8500,38,223.68,Onboarding UX Flow
Full Stack Developer,9000,38,236.84,Payment Gateway Integration Doc
Full Stack Developer,4000,60,66.67,Database ERD
Backend Developer,4500,55,81.82,Rate Limiting Policy
Backend Developer,3000,55,54.55,Database ERD
Backend Developer,6000,55,109.09,API Documentation
UI/UX Designer,8000,38,210.53,Accessibility Requirements
UI/UX Designer,4200,60,70.0,Wireframes and Mockups
Full Stack Developer,6000,58,103.45,Admin Panel Requirements
UI/UX Designer,5500,40,137.5,Figma or XD Source Files
Mobile App Developer,7000,38,184.21,App Onboarding Flow Spec
DevOps Engineer,6000,58,103.45,Disaster Recovery Plan
DevOps Engineer,7500,38,197.37,Network Topology Diagram
Mobile App Developer,6500,40,162.5,App Onboarding Flow Spec
Mobile App Developer,3000,80,37.5,Push Notification Plan
Mobile App Developer,3500,60,58.33,App Store Assets Package
Full Stack Developer,6000,58,103.45,User Roles and Permissions Matrix
Backend Developer,5500,40,137.5,API Documentation
Frontend Developer,6000,55,109.09,UI Component Specifications
DevOps Engineer,6000,40,150.0,Network Topology Diagram
UI/UX Designer,7500,38,197.37,Accessibility Requirements
Frontend Developer,6000,58,103.45,Frontend Tech Stack Agreement
Full Stack Developer,7000,40,175.0,Admin Panel Requirements
Mobile App Developer,8000,38,210.53,App Accessibility Guidelines
DevOps Engineer,5500,40,137.5,Secrets Management Policy
Frontend Developer,6500,40,162.5,Frontend Tech Stack Agreement
Mobile App Developer,7000,40,175.0,Mobile Security Checklist
DevOps Engineer,6000,58,103.45,Observability Stack Architecture
UI/UX Designer,6500,40,162.5,Component Library Documentation
Mobile App Developer,5500,40,137.5,App Accessibility Guidelines
Backend Developer,6500,58,112.07,Database ERD
Full Stack Developer,6000,40,150.0,Performance Benchmarks
Backend Developer,5000,60,83.33,Rate Limiting Policy
Backend Developer,6500,58,112.07,Rate Limiting Policy
Frontend Developer,6000,58,103.45,Component Testing Standards
Full Stack Developer,6500,40,162.5,Logging and Audit Trail Spec
Mobile App Developer,6000,40,150.0,Analytics Event Tracking Spec
Frontend Developer,7000,38,184.21,Project Scope Statement
Frontend Developer,7000,40,175.0,Frontend Tech Stack Agreement
UI/UX Designer,3500,75,46.67,Brand Style Guide
Full Stack Developer,7000,38,184.21,Project Scope Statement
Frontend Developer,1000,70,14.29,SEO and Keywords Strategy
DevOps Engineer,7000,40,175.0,Secrets Management Policy
Backend Developer,9000,38,236.84,Authentication and Security
Mobile App Developer,9000,38,236.84,Mobile Security Checklist
Mobile App Developer,7500,38,197.37,App Accessibility Guidelines
DevOps Engineer,7500,38,197.37,Load Testing Report
UI/UX Designer,6000,58,103.45,Accessibility Requirements
Frontend Developer,8000,38,210.53,Frontend Tech Stack Agreement
UI/UX Designer,8500,38,223.68,Figma or XD Source Files
Backend Developer,6000,40,150.0,Authentication and Security
Mobile App Developer,7500,38,197.37,Analytics Event Tracking Spec
Mobile App Developer,2400,75,32.0,Push Notification Plan
Full Stack Developer,7500,38,197.37,Admin Panel Requirements
DevOps Engineer,7000,40,175.0,Network Topology Diagram
Full Stack Developer,5000,38,131.58,Project Scope Statement
Mobile App Developer,6500,40,162.5,Analytics Event Tracking Spec
Full Stack Developer,7000,40,175.0,User Roles and Permissions Matrix
Backend Developer,6000,58,103.45,Database Migration Plan
Full Stack Developer,9000,38,236.84,Deployment Checklist
Frontend Developer,5000,60,83.33,Browser Compatibility Matrix
Mobile App Developer,6500,58,112.07,App Store Assets Package
Mobile App Developer,8000,38,210.53,Deep Linking Configuration
Backend Developer,1800,75,24.0,Health Check Endpoint Spec
UI/UX Designer,3500,60,58.33,Usability Testing Report
DevOps Engineer,6000,58,103.45,Load Testing Report
Backend Developer,2800,75,37.33,Health Check Endpoint Spec
Frontend Developer,7000,38,184.21,UI Component Specifications
Backend Developer,4200,55,76.36,Rate Limiting Policy
Full Stack Developer,6500,55,118.18,Admin Panel Requirements
Backend Developer,7000,40,175.0,GDPR Compliance Checklist
Full Stack Developer,6500,55,118.18,Performance Benchmarks
Frontend Developer,6000,40,150.0,Frontend Tech Stack Agreement
Frontend Developer,2500,70,35.71,Project Scope Statement
Mobile App Developer,7500,38,197.37,Deep Linking Configuration
Frontend Developer,1000,70,14.29,Third-Party Integrations List
Full Stack Developer,5500,40,137.5,Deployment Checklist
DevOps Engineer,7000,38,184.21,Network Topology Diagram
Full Stack Developer,9000,38,236.84,User Roles and Permissions Matrix
Full Stack Developer,5500,40,137.5,Performance Benchmarks
Backend Developer,4500,60,75.0,Rate Limiting Policy
Full Stack Developer,8000,38,210.53,Performance Benchmarks
Backend Developer,6000,55,109.09,Error Handling Standards
Backend Developer,3000,80,37.5,Health Check Endpoint Spec
Backend Developer,6500,58,112.07,API Response Envelope Standard
DevOps Engineer,8000,38,210.53,Secrets Management Policy
Frontend Developer,3500,60,58.33,Third-Party Integrations List
UI/UX Designer,7000,40,175.0,Design Tokens Export
DevOps Engineer,9000,38,236.84,Infrastructure Architecture
Frontend Developer,7000,40,175.0,Component Testing Standards
Mobile App Developer,8500,38,223.68,App Permissions Justification
Full Stack Developer,5500,40,137.5,Logging and Audit Trail Spec
UI/UX Designer,6500,40,162.5,Figma or XD Source Files
Frontend Developer,3000,55,54.55,State Management Plan
Mobile App Developer,1800,75,24.0,Push Notification Plan
Frontend Developer,4500,55,81.82,Browser Compatibility Matrix
Frontend Developer,5500,55,100.0,State Management Plan
UI/UX Designer,1500,70,21.43,User Persona Profiles
DevOps Engineer,8500,38,223.68,Infrastructure Architecture
Frontend Developer,5500,58,94.83,Responsive Design Spec
Full Stack Developer,7000,40,175.0,Deployment Checklist
Frontend Developer,6000,55,109.09,State Management Plan
UI/UX Designer,2200,70,31.43,Brand Style Guide
DevOps Engineer,6000,40,150.0,Secrets Management Policy
Mobile App Developer,6000,58,103.45,App Accessibility Guidelines
UI/UX Designer,4500,55,81.82,Usability Testing Report
DevOps Engineer,6000,55,109.09,Observability Stack Architecture
UI/UX Designer,6000,58,103.45,Prototype Link and Credentials
Backend Developer,4500,60,75.0,API Response Envelope Standard
Mobile App Developer,3000,55,54.55,Network Error Handling Spec
Full Stack Developer,9000,38,236.84,Logging and Audit Trail Spec
DevOps Engineer,6500,55,118.18,Network Topology Diagram
Backend Developer,6000,40,150.0,API Documentation
Frontend Developer,5000,60,83.33,Project Scope Statement
Backend Developer,5000,60,83.33,API Response Envelope Standard
Backend Developer,7500,38,197.37,Data Retention Policy
Backend Developer,8000,38,210.53,Data Retention Policy
Backend Developer,7000,38,184.21,Database Migration Plan
Backend Developer,6000,58,103.45,API Documentation
Mobile App Developer,5500,55,100.0,App Store Assets Package
UI/UX Designer,3800,60,63.33,Brand Style Guide
Frontend Developer,4200,55,76.36,Responsive Design Spec
Frontend Developer,800,60,13.33,Third-Party Integrations List
DevOps Engineer,7500,38,197.37,Disaster Recovery Plan
Frontend Developer,7500,38,197.37,UI Component Specifications
Backend Developer,6500,55,118.18,Data Retention Policy
UI/UX Designer,5500,58,94.83,Usability Testing Report
Full Stack Developer,6000,58,103.45,Logging and Audit Trail Spec
Mobile App Developer,5500,40,137.5,Analytics Event Tracking Spec
Frontend Developer,3000,55,54.55,Browser Compatibility Matrix
Mobile App Developer,6000,55,109.09,Deep Linking Configuration
Full Stack Developer,5500,58,94.83,Database ERD
Mobile App Developer,8500,38,223.68,Deep Linking Configuration
Full Stack Developer,6500,55,118.18,User Roles and Permissions Matrix
UI/UX Designer,9000,38,236.84,Prototype Link and Credentials
Frontend Developer,1500,70,21.43,Third-Party Integrations List
Frontend Developer,8500,38,223.68,Frontend Tech Stack Agreement
Frontend Developer,5500,40,137.5,UI Component Specifications
DevOps Engineer,7000,38,184.21,Observability Stack Architecture
Mobile App Developer,800,60,13.33,Push Notification Plan
Mobile App Developer,6000,55,109.09,App Accessibility Guidelines
Full Stack Developer,6500,40,162.5,Authentication and Security
Full Stack Developer,4200,55,76.36,Database ERD
DevOps Engineer,5500,40,137.5,Disaster Recovery Plan
Full Stack Developer,7000,40,175.0,Payment Gateway Integration Doc
Frontend Developer,7000,40,175.0,Performance Benchmarks
Full Stack Developer,3800,60,63.33,Project Scope Statement
UI/UX Designer,3500,60,58.33,Brand Style Guide
DevOps Engineer,5500,40,137.5,CI/CD Pipeline Configuration
Mobile App Developer,5000,60,83.33,App Store Assets Package
Frontend Developer,3500,60,58.33,State Management Plan
Backend Developer,6500,55,118.18,Error Handling Standards
Mobile App Developer,6500,55,118.18,App Permissions Justification
Frontend Developer,4200,55,76.36,Browser Compatibility Matrix
Backend Developer,3000,55,54.55,Rate Limiting Policy
DevOps Engineer,4200,55,76.36,Environment Parity Checklist
Full Stack Developer,6000,55,109.09,API Documentation
Full Stack Developer,7500,38,197.37,Performance Benchmarks
UI/UX Designer,6000,55,109.09,Onboarding UX Flow
DevOps Engineer,7000,38,184.21,Load Testing Report
UI/UX Designer,6500,40,162.5,Design Tokens Export
UI/UX Designer,6000,58,103.45,Component Library Documentation
DevOps Engineer,7000,38,184.21,Infrastructure Architecture
Full Stack Developer,4500,60,75.0,Database ERD
Full Stack Developer,6500,40,162.5,Performance Benchmarks
UI/UX Designer,7000,38,184.21,Component Library Documentation
Backend Developer,7500,38,197.37,GDPR Compliance Checklist
Backend Developer,3800,60,63.33,Health Check Endpoint Spec
UI/UX Designer,7000,40,175.0,Prototype Link and Credentials
Backend Developer,6500,40,162.5,API Documentation
Backend Developer,6000,40,150.0,Database Migration Plan
DevOps Engineer,6500,55,118.18,Observability Stack Architecture
Backend Developer,7000,38,184.21,Data Retention Policy
Full Stack Developer,7000,38,184.21,Performance Benchmarks
DevOps Engineer,7000,38,184.21,Docker and Container Config
UI/UX Designer,6500,55,118.18,Onboarding UX Flow
Mobile App Developer,1500,70,21.43,Push Notification Plan
