title,category,description,is_mandatory,type,importance,format
Project Scope Statement,Frontend Developer,"Formal document defining project boundaries, deliverables, and exclusions agreed by all stakeholders.",1,File,High,PDF
Performance Benchmarks,Frontend Developer,"Minimum Lighthouse scores, Core Web Vitals targets, page load time thresholds, and uptime SLA.",1,File,High,PDF
Browser Compatibility Matrix,Frontend Developer,Required browser and OS combinations to be tested and officially supported at launch.,1,Text,Medium,
Responsive Design Spec,Frontend Developer,"Breakpoint definitions, fluid grid rules, and component behavior across mobile, tablet, and desktop.",1,File,Medium,PDF
UI Component Specifications,Frontend Developer,"Detailed spec of every UI component including states, props, breakpoints, and interaction behavior.",1,File,High,PDF
State Management Plan,Frontend Developer,"Chosen state management approach, store structure, data flow diagrams, and persistence rules.",0,File,Medium,PDF
Frontend Tech Stack Agreement,Frontend Developer,"Agreed framework, build tool, linting rules, and package manager for the project.",1,Text,High,
Component Testing Standards,Frontend Developer,"Unit and integration test coverage targets, testing library choice, mocking strategy, and CI gate.",1,Text,High,
SEO and Keywords Strategy,Frontend Developer,"Target keywords, meta tag guidelines, URL structure, and on-page SEO optimization requirements.",0,Text,Low,
Third-Party Integrations List,Frontend Developer,"All external APIs, analytics tools, tag managers, and SDKs the frontend must connect to.",0,Text,Medium,
Database ERD,Backend Developer,"Entity Relationship Diagram showing all tables, column types, and foreign key relationships.",1,File,High,Image
API Documentation,Backend Developer,"Complete REST endpoint specs including auth methods, request/response schemas, and error codes.",1,File,High,PDF
Authentication and Security,Backend Developer,"OAuth2 or JWT strategy, role definitions, password policy, and data encryption standards.",1,Text,High,
Data Retention Policy,Backend Developer,"Rules governing storage duration, archiving strategy, backup frequency, and secure deletion.",0,File,High,PDF
GDPR Compliance Checklist,Backend Developer,"Data subject rights, consent logging, right to erasure flow, and DPA contact details.",1,File,High,PDF
Error Handling Standards,Backend Developer,"Standardized error codes, response envelope structure, logging format, and escalation rules.",1,Text,High,
Database Migration Plan,Backend Developer,"Migration tooling, rollback strategy, zero-downtime deployment approach, and seed data scripts.",1,File,High,ZIP
Rate Limiting Policy,Backend Developer,"API rate limit thresholds per endpoint, throttling strategy, and response headers.",0,Text,Medium,
API Response Envelope Standard,Backend Developer,"Consistent JSON wrapper structure for all responses including data, error, meta, and pagination.",1,Text,High,
Health Check Endpoint Spec,Backend Developer,"Required health check routes, response schema, dependency check inclusions, and monitoring integration.",1,Text,Medium,
Project Scope Statement,Full Stack Developer,"Formal document defining project boundaries, deliverables, and exclusions agreed by all stakeholders.",1,File,High,PDF
Database ERD,Full Stack Developer,"Entity Relationship Diagram showing all tables, column types, and foreign key relationships.",1,File,High,Image
API Documentation,Full Stack Developer,"Complete REST endpoint specs including auth methods, request/response schemas, and error codes.",1,File,High,PDF
Authentication and Security,Full Stack Developer,"OAuth2 or JWT strategy, role definitions, password policy, and data encryption standards.",1,Text,High,
Deployment Checklist,Full Stack Developer,"Step-by-step pre and post deployment checks covering DB migrations, cache flush, and rollback.",1,File,High,PDF
User Roles and Permissions Matrix,Full Stack Developer,"All user roles, feature access matrix, permission inheritance rules, and role assignment workflow.",1,File,High,PDF
Payment Gateway Integration Doc,Full Stack Developer,"Chosen provider, supported currencies, refund flow, webhook events, and PCI compliance.",1,File,High,PDF
Logging and Audit Trail Spec,Full Stack Developer,"Log levels, structured log format, retention period, and audit trail for sensitive actions.",1,Text,High,
Admin Panel Requirements,Full Stack Developer,"Role-based admin access levels, required CRUD operations, audit logging, and KPI definitions.",1,File,High,PDF
Performance Benchmarks,Full Stack Developer,"Minimum acceptable load times, uptime SLA, and server response time requirements.",1,File,High,PDF
Wireframes and Mockups,UI/UX Designer,"Low-to-high fidelity screens showing layout, components, and user flow for all key screens.",1,File,High,Image
Figma or XD Source Files,UI/UX Designer,"Editable design source files containing all components, variants, grids, and exported assets.",1,File,High,ZIP
Brand Style Guide,UI/UX Designer,"Official brand colors, typography scale, spacing rules, iconography, and tone of voice guidelines.",0,File,Medium,PDF
User Persona Profiles,UI/UX Designer,"Research-based profiles of target users including goals, frustrations, and usage scenarios.",0,File,Medium,PDF
Accessibility Requirements,UI/UX Designer,"WCAG 2.1 AA compliance checklist, contrast ratio standards, and screen reader requirements.",0,File,High,PDF
Prototype Link and Credentials,UI/UX Designer,"Clickable prototype URL with access credentials, interactivity scope, and testing scenario notes.",1,Text,High,URL
Component Library Documentation,UI/UX Designer,"Full component library with props, variants, usage rules, and do/don't examples.",1,File,High,URL
Design Tokens Export,UI/UX Designer,"JSON or CSS variables export of all design tokens: colors, spacing, radii, shadows, and typography.",1,File,High,ZIP
Usability Testing Report,UI/UX Designer,"User testing findings with task success rates, pain points, and prioritized recommendations.",0,File,Medium,PDF
Onboarding UX Flow,UI/UX Designer,"Step-by-step onboarding screens, progress indicators, skip logic, and success state designs.",1,File,High,Image
Device and OS Target List,Mobile App Developer,Minimum iOS and Android OS versions and priority devices required for testing.,1,Text,High,
App Store Assets Package,Mobile App Developer,"App icons, screenshots per device, feature graphics, and promotional banners for store submission.",1,File,High,ZIP
App Permissions Justification,Mobile App Developer,"List of requested OS permissions, business justification, and graceful degradation if denied.",1,File,High,PDF
Mobile Security Checklist,Mobile App Developer,"Certificate pinning, jailbreak detection, sensitive data masking, and secure keychain storage.",1,File,High,PDF
Analytics Event Tracking Spec,Mobile App Developer,"All tracked events, parameter names, trigger conditions, and analytics platform configuration.",1,File,High,PDF
